City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,hamar,60.7945,11.068,5.04,70,16,3.54,NO,1697090149
218,port elizabeth,-33.918,25.5701,18.51,97,40,1.03,ZA,1697090149
219,horta,38.5333,-28.6333,19.45,88,45,2.68,PT,1697090149
220,mulgund,15.25,75.5333,28.8,50,100,4.63,IN,1697090149
221,al kharijah,25.4514,30.5464,24.57,41,0,5.92,EG,1697090150
222,floro,61.5996,5.0328,7.98,81,40,13.89,NO,1697090150
223,nizhneangarsk,55.7833,109.55,6.67,81,43,0.45,RU,1697090150
224,nishinoomote,30.7333,131.0,23.31,68,40,4.63,JP,1697090150
225,tofol,5.3248,163.0078,29.02,70,98,2.27,FM,1697090150
226,howard springs,-12.497,131.047,33.79,32,47,4.27,AU,1697090151
227,moose jaw,50.4001,-105.5344,6.14,87,29,6.69,CA,1697090151
228,dos palos,36.9861,-120.6266,16.26,49,0,3.92,US,1697090151
229,salinas,36.6777,-121.6555,15.34,81,0,4.12,US,1697090133
230,santa vitoria do palmar,-33.5189,-53.3681,7.68,67,73,4.86,BR,1697090151
231,sumbawa besar,-8.5,117.4333,34.32,39,48,4.08,ID,1697090152
232,ad dilam,23.9915,47.1627,31.23,10,0,2.26,SA,1697090152
233,vadso,70.0744,29.7487,2.49,87,75,10.8,NO,1697090152
234,greymouth,-42.4667,171.2,11.81,90,49,2.62,NZ,1697090088
235,la sarre,48.8002,-79.1996,4.44,95,100,2.73,CA,1697089953
236,revda,56.801,59.9303,2.62,84,100,4.96,RU,1697090152
237,joal-fadiout,14.1667,-16.8333,27.94,80,97,2.49,SN,1697090153
238,new haven,41.4001,-72.9329,11.63,89,0,0.0,US,1697090033
239,puerto ayacucho,5.6639,-67.6236,24.09,91,46,1.44,VE,1697090153
240,kempsey,-31.0833,152.8333,24.97,62,1,1.34,AU,1697090153
241,sovetskaya gavan',48.9723,140.2878,16.17,41,36,2.04,RU,1697090153
242,ancud,-41.8697,-73.8203,4.72,86,22,2.68,CL,1697090154
243,aasiaat,68.7098,-52.8699,-8.49,94,100,5.19,GL,1697090154
244,arawa,-6.2132,155.5367,28.91,79,51,0.78,PG,1697090154
245,al ghayzah,16.2079,52.176,28.13,61,1,2.55,YE,1697090154
246,kuzhener,56.8111,48.9128,2.98,64,100,10.11,RU,1697090154
247,griffith,41.5284,-87.4237,12.28,93,100,2.57,US,1697090154
248,techiman,7.5862,-1.9414,21.01,99,80,2.11,GH,1697090155
249,bullsbrook,-31.6667,116.0,26.64,29,0,6.17,AU,1697090155
250,mar del plata,-38.0023,-57.5575,5.61,82,20,1.54,AR,1697089930
251,pagar alam,-4.0167,103.2667,30.39,43,47,1.81,ID,1697090155
252,broome,42.2506,-75.833,9.36,87,0,1.54,US,1697090155
253,kuchaiburi,22.2667,86.1667,30.87,56,1,2.01,IN,1697090156
254,tibu,8.639,-72.7358,23.32,98,65,0.82,CO,1697090156
255,atafu village,-8.5421,-172.5159,28.19,76,83,6.53,TK,1697090156
256,qarazhal,48.0078,70.7903,7.17,65,100,5.19,KZ,1697090156
257,egilsstadir,65.2653,-14.3948,-0.05,86,100,6.17,IS,1697090124
258,hilo,19.7297,-155.09,24.03,92,100,2.06,US,1697090156
259,zyrya,40.3661,50.2917,13.05,52,99,13.96,AZ,1697090157
260,vilyuysk,63.7553,121.6247,6.2,60,88,5.81,RU,1697090157
261,sakakah,29.9697,40.2064,23.76,34,35,2.6,SA,1697090157
262,katghora,22.5,82.55,33.69,37,5,0.79,IN,1697090157
263,broken hill,-31.95,141.4333,21.6,19,0,12.05,AU,1697090158
264,belomorsk,64.5232,34.7668,7.08,72,69,7.23,RU,1697090158
265,goure,13.9835,10.2704,28.68,27,40,5.71,NE,1697090158
266,new norfolk,-42.7826,147.0587,18.72,79,94,2.18,AU,1697090158
267,ugoofaaru,5.6667,73.0,25.11,89,99,2.53,MV,1697090158
268,xining,36.6167,101.7667,5.3,96,100,1.44,CN,1697090158
269,altai,46.3722,96.2583,9.95,31,0,3.42,MN,1697090159
270,jabor,5.921,169.6434,29.22,67,77,0.95,MH,1697090159
271,somotillo,13.0433,-86.9064,24.76,95,100,0.41,NI,1697090159
272,bayanhongor,46.7167,100.1167,8.0,42,0,2.37,MN,1697090159
273,minas de marcona,-15.2119,-75.1103,13.17,88,98,5.77,PE,1697090159
274,shenjiamen,29.9576,122.298,21.51,77,31,3.77,CN,1697090160
275,mahenge,-8.6833,36.7167,23.03,53,57,1.74,TZ,1697090160
276,arno,60.1167,18.6333,8.77,62,24,8.64,SE,1697090049
277,ravar,31.2656,56.8055,28.71,18,1,1.29,IR,1697090160
278,san patricio,28.017,-97.5169,23.24,94,11,2.57,US,1697090160
279,punaauia,-17.6333,-149.6,26.8,74,20,2.57,PF,1697090160
280,touros,-5.1989,-35.4608,24.92,82,26,6.2,BR,1697090161
281,al jadid,27.05,14.4,20.89,45,2,3.77,LY,1697090161
282,prineville,44.2999,-120.8345,9.51,91,40,0.0,US,1697090161
283,vilyuchinsk,52.9306,158.4028,3.85,95,100,3.46,RU,1697090161
284,kununurra,-15.7667,128.7333,36.99,32,75,2.57,AU,1697089864
285,klerksdorp,-26.8521,26.6667,17.86,62,100,4.12,ZA,1697090162
286,orchard homes,46.8633,-114.0484,7.55,85,0,2.57,US,1697090162
287,jinghong,21.991,100.7341,29.08,61,79,2.1,CN,1697090162
288,zag,46.9441,99.165,9.76,38,0,1.98,MN,1697090162
289,plottier,-38.9667,-68.2333,8.95,66,0,0.0,AR,1697090162
290,puerto deseado,-47.7503,-65.8938,6.23,68,68,6.0,AR,1697090095
291,obo,5.3998,26.4869,22.98,83,100,0.82,CF,1697090163
292,naberera,-4.2,36.9333,20.33,57,93,2.99,TZ,1697090163
293,xinyuan,37.3,99.0,0.92,88,98,3.11,CN,1697090163
294,andovoranto,-18.95,49.1,26.42,61,94,2.42,MG,1697090163
295,horsham,51.064,-0.3272,18.02,89,75,2.57,GB,1697090163
296,usevia,-7.1,31.2333,28.1,35,100,2.44,TZ,1697090164
297,klyuchi,52.2667,79.1667,10.08,48,100,0.61,RU,1697090164
298,tingi,-11.3,35.0333,24.93,40,100,2.17,TZ,1697090164
299,nogliki,51.8333,143.1667,11.86,58,71,6.26,RU,1697090164
300,aykhal,66.0,111.5,1.71,71,100,11.62,RU,1697090164
301,mandalgovi,45.7625,106.2708,13.15,30,30,3.97,MN,1697090081
302,haiku-pauwela,20.9219,-156.3051,25.02,74,20,5.66,US,1697090165
303,pisco,-13.7,-76.2167,18.03,82,69,4.12,PE,1697090076
304,faqirwali,29.4663,73.034,35.87,14,0,3.87,PK,1697090165
305,alice springs,-23.7,133.8833,33.75,11,4,6.17,AU,1697089979
306,inyati,-19.6756,28.8469,26.3,26,0,5.42,ZW,1697090165
307,port pirie,-33.1833,138.0167,17.51,50,1,9.0,AU,1697090166
308,baraboo,43.4711,-89.7443,11.11,80,100,3.6,US,1697090166
309,basoko,1.2391,23.616,23.85,80,99,1.3,CD,1697090166
310,mirnyy,62.5353,113.9611,7.94,92,100,4.6,RU,1697090166
311,darwin,-12.4611,130.8418,33.83,49,40,5.66,AU,1697090166
312,angicos,-5.6656,-36.6011,23.61,75,12,5.67,BR,1697090166
313,buenavista,8.9769,125.4089,29.72,70,84,3.7,PH,1697090167
314,zaozersk,69.4005,32.4476,1.94,97,100,13.75,RU,1697090167
315,ilhabela,-23.7781,-45.3581,23.46,84,57,1.32,BR,1697090146
316,port shepstone,-30.7414,30.455,20.95,84,100,6.24,ZA,1697090167
317,hafar al-batin,28.4328,45.9708,31.32,16,0,5.14,SA,1697090167
318,hamilton,39.1834,-84.5333,13.82,85,75,1.54,US,1697090060
319,inhambane,-23.865,35.3833,25.99,83,40,5.36,MZ,1697090168
320,betong,5.7743,101.0723,29.09,77,71,0.96,TH,1697090168
